name|src_file|src_line|total_ns|total_perc|counts|mean_ns|min_ns|max_ns|std_ns
LLViewerObject::processUpdateMessage|E:\BoxxyViewer\indra\newview\llviewerobject.cpp|1233|3219713|0.000120|1677|1919|193|27986|2693.538593
LLSettingsVOWater::updateSettings|E:\BoxxyViewer\indra\newview\llsettingsvo.cpp|1148|799609|0.000030|173|4622|3112|12003|746.462950
"shadow alpha grass"|E:\BoxxyViewer\indra\newview\pipeline.cpp|9969|241079212|0.008973|2048|117714|933|603066|125691.413701
LLVertexBuffer::genIndices|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|1115|1779298|0.000066|2795|636|77|38043|1977.187086
LLPipeline::doWaterHaze|E:\BoxxyViewer\indra\newview\pipeline.cpp|9271|2535645|0.000094|867|2924|6|19239|3625.106183
LLDefaultVBOPool::allocate|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|437|9837166|0.000366|22443|438|59|87160|1398.628664
"httppt - curl_multi_info_read"|E:\BoxxyViewer\indra\llcorehttp\_httplibcurl.cpp|183|633114|0.000024|2006|315|7|16405|1185.216180
"lllog"|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|1291|2662|0.000000|17|156|7|508|117.679119
LLGLSLShader::uniform4fv|E:\BoxxyViewer\indra\llrender\llglslshader.cpp|1580|21448277|0.000798|564159|38|6|143460|287.234401
LLMemory::updateMemoryInfo|E:\BoxxyViewer\indra\llcommon\llmemory.cpp|112|202973|0.000008|10|20297|16699|29304|3605.767926
LLViewerTextureList::updateImagesFetchTextures|E:\BoxxyViewer\indra\newview\llviewertexturelist.cpp|1251|369059849|0.013736|173|2133293|2049669|2800640|126644.194857
LLViewerObjectList::findOrphans|E:\BoxxyViewer\indra\newview\llviewerobjectlist.cpp|2002|74743|0.000003|1677|44|10|1312|121.717671
LLPipeline::generateImpostor|E:\BoxxyViewer\indra\newview\pipeline.cpp|11473|126386352|0.004704|261|484238|190562|935094|153845.417103
LLSettingsWater::blend|E:\BoxxyViewer\indra\llinventory\llsettingswater.cpp|237|26205|0.000001|173|151|122|384|33.776798
LLDrawPoolAvatar::renderAvatars|E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp|668|24687175|0.000919|164070|150|6|63476|578.699639
LLThreadSafeQueue<class std::function<void __cdecl(void)>,class std::queue<class std::function<void __cdecl(void)>,class std::deque<class std::function<void __cdecl(void)>,class std::allocator<class std::function<void __cdecl(void)> > > > >::pushIfOpen|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|325|2154485|0.000080|974|2211|52|32984|2247.473848
LLQueuedThread::update|E:\BoxxyViewer\indra\llcommon\llqueuedthread.cpp|143|2207999|0.000082|516|4279|1379|19404|1795.588566
"lllog"|E:\BoxxyViewer\indra\newview\llviewerobjectlist.cpp|1300|4950|0.000000|42|117|22|248|30.695992
LLAppViewer::pingMainloopTimeout|E:\BoxxyViewer\indra\newview\llappviewer.cpp|6399|3450173|0.000128|50806|67|34|13979|145.498372
LLGLSLShader::uniform4fv|E:\BoxxyViewer\indra\llrender\llglslshader.cpp|1969|973513|0.000036|4702|207|54|4060|131.010171
"vftuf - data good"|E:\BoxxyViewer\indra\newview\llviewertexture.cpp|1967|21539|0.000001|14|1538|172|3063|742.298561
LLRenderPass::pushMaskBatches|E:\BoxxyViewer\indra\newview\lldrawpool.cpp|561|22962927|0.000855|7733|2969|6|125197|6513.740419
LLCore::HttpOpRequest::readCallback|E:\BoxxyViewer\indra\llcorehttp\_httpoprequest.cpp|811|29088|0.000001|23|1264|588|2139|340.188851
LLGLSLShader::bindTexture|E:\BoxxyViewer\indra\llrender\llglslshader.cpp|1159|359912|0.000013|3619|99|14|4768|114.523614
LLVolumeImplFlexible::doUpdateGeometry|E:\BoxxyViewer\indra\newview\llflexibleobject.cpp|756|132268|0.000005|129|1025|20|9222|1635.382426
"lllog"|E:\BoxxyViewer\indra\llcommon\lleventcoro.cpp|249|9685|0.000000|76|127|13|339|62.144026
LLVertexBuffer::mapIndexBuffer|E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp|1324|513151|0.000019|5723|89|8|1228|94.606377
LLCore::HttpOpRequest::stageFromRequest|E:\BoxxyViewer\indra\llcorehttp\_httpoprequest.cpp|203|51498|0.000002|43|1197|34|3313|759.308379
LLTrace::PeriodicRecording::getPeriodMedian|E:\BoxxyViewer\indra\llcommon\lltracerecording.cpp|787|516632|0.000019|172|3003|1728|5270|521.261190
LLTrace::AccumulatorBuffer<class LLTrace::CountAccumulator>::getDefaultBuffer|E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h|223|17832|0.000001|688|25|6|253|19.639472
"lllog"|E:\BoxxyViewer\indra\llprimitive\llprimitive.cpp|1549|8955|0.000000|282|31|6|266|48.365269
LLDrawPoolAvatar::isDead|E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp|118|623436|0.000023|15570|40|5|3465|61.020195
LLCore::HttpLibcurl::completeRequest|E:\BoxxyViewer\indra\llcorehttp\_httplibcurl.cpp|320|317856|0.000012|42|7568|3295|12648|1886.531803
process_terse_object_update_improved|E:\BoxxyViewer\indra\newview\llviewermessage.cpp|3665|6371564|0.000237|122|52225|6547|101948|24049.895741
LLFace::getGeometryVolume|E:\BoxxyViewer\indra\newview\llface.cpp|1235|27261580|0.001015|5336|5108|163|983036|29866.592845
"df Snapshot"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1508|170401858|0.006342|172|990708|147818|4170799|955643.931312
"lllog"|E:\BoxxyViewer\indra\llcommon\lleventcoro.cpp|275|5207|0.000000|23|226|61|845|154.943831
"getGeometryVolume - norm mat override"|E:\BoxxyViewer\indra\newview\llface.cpp|1566|128120|0.000005|5268|24|7|978|41.098750
"Deffered alpha mask analysis"|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|2356|10413|0.000000|1|10413|10413|10413|0.000000
LLPipeline::stateSort|E:\BoxxyViewer\indra\newview\pipeline.cpp|3348|42356903|0.001576|83430|507|7|164518|2044.192812
LLVOAvatar::performPartialComplexityUpdate|E:\BoxxyViewer\indra\newview\llvoavatar.cpp|11942|6724544|0.000250|98|68617|8167|556093|101493.806391
LLThreadSafeQueue<struct tagMSG,class std::queue<struct tagMSG,class std::deque<struct tagMSG,class std::allocator<struct tagMSG> > > >::tryLock|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|278|1062753|0.000040|282|3768|110|76841|9207.355281
LLViewerObjectList::removeFromLocalIDTable|E:\BoxxyViewer\indra\newview\llviewerobjectlist.cpp|170|2252|0.000000|42|53|6|458|75.770514
LLTrace::AccumulatorBuffer<class LLTrace::EventAccumulator>::~AccumulatorBuffer|E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.h|79|129918|0.000005|344|377|50|1410|180.040358
"subimage - batched lines"|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|1077|94888|0.000004|15|6325|1321|8225|2086.691897
"Clear stats maps"|E:\BoxxyViewer\indra\newview\llperfstats.cpp|219|73707|0.000003|172|428|237|1339|160.902916
LLViewerTextureList::findImage|E:\BoxxyViewer\indra\newview\llviewertexturelist.cpp|684|8855488|0.000330|58824|150|37|107852|581.114349
"pushRiggedGLTFBatch"|E:\BoxxyViewer\indra\newview\lldrawpool.cpp|1001|33239492|0.001237|36378|913|225|66133|798.727366
LLThread::currentID|E:\BoxxyViewer\indra\llcommon\llthread.cpp|460|684035|0.000025|49486|13|5|5910|51.301263
"Texture Cache"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1670|1494392|0.000056|172|8688|3183|21416|2308.504138
LLHeadRotMotion::onUpdate|E:\BoxxyViewer\indra\llcharacter\llheadrotmotion.cpp|178|81286|0.000003|184|441|289|1306|126.290973
LLDrawPoolTerrain::renderShadow|E:\BoxxyViewer\indra\newview\lldrawpoolterrain.cpp|175|15832|0.000001|1024|15|6|199|12.328352
LLThreadSafeQueue<struct tagMSG,class std::queue<struct tagMSG,class std::deque<struct tagMSG,class std::allocator<struct tagMSG> > > >::push_|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|309|39627|0.000001|111|357|231|1454|135.696855
"lllog"|E:\BoxxyViewer\indra\llwindow\llwindowwin32.cpp|5394|21209|0.000001|111|191|76|443|72.825320
LLTextureCache::update|E:\BoxxyViewer\indra\newview\lltexturecache.cpp|820|1421863|0.000053|172|8266|2877|20852|2295.080242
LLTextureFetch::commonUpdate|E:\BoxxyViewer\indra\newview\lltexturefetch.cpp|2959|860920|0.000032|172|5005|770|45673|5379.412754
